loop_id	category	n_genes	genes	in_dualhigh17	tier	mean_d	mean_coex	n_active
PFL_TME_015	PFL_TME	3	IL10,STAT3,USP2				
PFL_TME_016	PFL_TME	4	SPP1,S100A9,AGER,NFKB1				
PFL_TME_017	PFL_TME	4	PPBP,CXCR2,STAT1,PHGDH				
PFL_TME_018	PFL_TME	2	HMGB1,AGER				
PFL_TME_019	PFL_TME	2	HSPB1,IL6				
PFL_TME_020	PFL_TME	4	STC1,YAP1,CCL2,VEGFA				
PFL_TME_021	PFL_TME	2	SPP1,CD44				
PFL_TME_022	PFL_TME	5	NONO,AR,HMGB1,IL6,STAT3				
PFL_TME_023	PFL_TME	3	IL6,JAK2,STAT3				
PFL_TME_024	PFL_TME	2	FUBP1,MYC			0.947	0.151	2
PFL_TME_025	PFL_TME	3	COL10A1,TGFB1,RUNX2				
PFL_TME_026	PFL_TME	2	FGF2,IL33				
PFL_TME_027	PFL_TME	3	GREM1,FGF4,SHH				
PFL_TME_028	PFL_TME	2	AEBP1,PPARG				
PFL_TME_029	PFL_TME	3	FERMT2,TGFB1,SMAD2				
PFL_TME_030	PFL_TME	4	LINC00665,RAB27B,HGF,MYC				
PFL_TME_031	PFL_TME	3	CTHRC1,TGFB1,HK2				
PFL_TME_032	PFL_TME	4	CLCF1,CXCL6,TGFB1,MAPK3				
PFL_TME_033	PFL_TME	4	PDPN,POSTN,YAP1,IL6				
PFL_TME_035	PFL_TME	4	COL11A1,NFKB1,IL6,ATF4				
PFL_TME_036	PFL_TME	3	BMP2,NFKB1,CXCL5				
PFL_TME_037	PFL_TME	2	STC1,TLR2				
PFL_TME_038	PFL_TME	3	IL10,STAT3,CD274				
PFL_TME_039	PFL_TME	4	CCL26,CX3CR1,TGFB1,SMAD2				
PFL_TME_040	PFL_TME	2	SAA1,TLR2				
PFL_TME_041	PFL_TME	4	LIF,STAT3,MAPK3,NFKB1				
PFL_TME_042	PFL_TME	6	BGN,TLR2,NFKB1,FAP,JAK2,STAT3				
PFL_TME_043	PFL_TME	4	L1CAM,NFKB1,CCL22,TGFB1				
PFL_TME_044	PFL_TME	2	F3,TGFB1				
PFL_TME_045	PFL_TME	4	ITGB1,YAP1,ACTA2,COL1A1				
PFL_TME_046	PFL_TME	2	ZEB1,LOXL2				
PFL_TME_047	PFL_TME	2	S100A11,NLK				
PFL_TME_048	PFL_TME	2	TNFSF11,PTH1R				
PFL_TME_049	PFL_TME	3	IL33,NFKB1,IL1RL1				
PFL_WNT_001	PFL_WNT	3	LGR6,CTNNB1,TCF7L2			0.687	0.134	3
PFL_WNT_002	PFL_WNT	3	WNT2,SOX4,CTNNB1			1.816	0.236	3
PFL_WNT_003	PFL_WNT	2	TPH1,CTNNB1			0.195	-0.004	2
PFL_WNT_004	PFL_WNT	2	DRD2,CTNNB1			0.532	0.065	3
PFL_WNT_005	PFL_WNT	2	ZEB1,CTNNB1			0.47	0.274	3
PFL_WNT_006	PFL_WNT	2	NLK,S100A11				
PFL_WNT_008	PFL_WNT	2	MELK,NFKB1			1.254	0.108	5
PFL_YAP_002	PFL_YAP	3	YAP1,TEAD4,RANBP1			1.419	0.204	4
PFL_YAP_006	PFL_YAP	2	YAP1,LAPTM4B			1.142	0.198	5
PFL_YAP_007	PFL_YAP	3	YAP1,TEAD4,LAMB1			1.281	0.208	4
PFL_YAP_008	PFL_YAP	3	YAP1,OXTR,ARRB2			0.985	0.108	4
PFL_YAP_009	PFL_YAP	2	YAP1,OXTR			1.067	0.267	4
